@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2021/06/23 01:28:33:515',1,0,0,0.058955,0.171033,0.208638,0.028071,0.034478,0.039387,0.044151,0.022033,0.031654,0.037863,0.040531,0.043273,0.024838,0.031397,0.044549,0.049839,0.064902,0.051393,0.036865,0.031603,0.032135,0.03367,0.024769,0,1,0.32,0,0
2,'2021/06/23 01:28:33:546',1,0,0,0.044234,0.171763,0.073357,0.045255,0.033992,0.040675,0.02455,0.009457,0.011459,0.019666,0.023337,0.034307,0.022017,0.024046,0.025688,0.034735,0.027111,0.025143,0.030078,0.027153,0.02509,0.022442,0.016675,0,1,0.32,0,0
3,'2021/06/23 01:28:33:575',1,0,0,0.007308,0.06548,0.033941,0.020794,0.018112,0.012467,0.014594,0.010489,0.011701,0.027147,0.035063,0.053345,0.060604,0.05017,0.041429,0.05636,0.039951,0.034863,0.043016,0.027681,0.045981,0.02312,0.028672,0,1,0.32,0,0
4,'2021/06/23 01:28:33:612',1,0,0,0.008639,0.056918,0.055127,0.017368,0.017351,0.017984,0.015422,0.009163,0.016399,0.017337,0.03306,0.052974,0.033768,0.03872,0.096999,0.099824,0.082894,0.057514,0.028475,0.016616,0.018541,0.016933,0.010664,0,1,0.32,0,0
5,'2021/06/23 01:28:33:643',1,0,0,0.02782,0.082694,0.163289,0.227972,0.145813,0.042931,0.041975,0.058529,0.120114,0.338104,0.707401,1.533245,1.940325,1.950091,1.796096,1.585186,1.171058,1.05243,0.741129,0.270533,0.306198,0.181808,0.131457,0,1,0.32,0,0
6,'2021/06/23 01:28:33:676',1,0,0,0.013569,0.056086,0.02249,0.007013,0.043423,0.036881,0.024759,0.013035,0.027157,0.027182,0.053138,0.046737,0.04829,0.021467,0.033784,0.05297,0.053166,0.035459,0.029418,0.02647,0.026554,0.017912,0.019391,0,1,0.32,0,0
7,'2021/06/23 01:28:33:711',1,0,0,0.008944,0.052948,0.015193,0.008397,0.046455,0.030827,0.035195,0.016001,0.028072,0.031948,0.041195,0.04697,0.042483,0.036296,0.03429,0.051671,0.040956,0.03498,0.023289,0.023329,0.026671,0.014062,0.017986,0,1,0.32,0,0
8,'2021/06/23 01:28:33:742',1,0,0,0.005865,0.043393,0.036597,0.025925,0.041252,0.03009,0.031563,0.013205,0.017789,0.015869,0.037736,0.052653,0.059602,0.03589,0.031715,0.044172,0.022442,0.025315,0.027382,0.022157,0.014467,0.020658,0.018134,0,1,0.32,0,0
9,'2021/06/23 01:28:33:775',1,0,0,0.008729,0.044969,0.02043,0.0014,0.022993,0.015123,0.008896,0.006448,0.01299,0.013935,0.017844,0.035599,0.026054,0.024048,0.023661,0.034444,0.021004,0.011662,0.017919,0.012609,0.015062,0.015684,0.012581,0,1,0.32,0,0
10,'2021/06/23 01:28:33:809',1,0,0,0.00981,0.042766,0.032745,0.013844,0.034362,0.027697,0.013872,0.00981,0.011633,0.01768,0.017933,0.04136,0.02887,0.018777,0.019784,0.015708,0.016681,0.018999,0.017723,0.013263,0.017402,0.014566,0.012279,0,1,0.32,0,0
11,'2021/06/23 01:28:33:842',1,0,0,0.005728,0.04676,0.036274,0.011206,0.051551,0.02743,0.017155,0.006051,0.005867,0.01403,0.017468,0.032463,0.019715,0.013325,0.016537,0.023541,0.021067,0.017943,0.015492,0.010855,0.009617,0.009047,0.010595,0,1,0.32,0,0
12,'2021/06/23 01:28:33:880',1,0,0,0.005728,0.04676,0.036274,0.011206,0.051551,0.02743,0.017155,0.006051,0.005867,0.01403,0.017468,0.032463,0.019715,0.013325,0.016537,0.023541,0.021067,0.017943,0.015492,0.010855,0.009617,0.009047,0.010595,0,1,0.32,0,0
13,'2021/06/23 01:28:33:911',1,0,0,0.00848,0.030651,0.018144,0.007552,0.018658,0.024763,0.015458,0.006561,0.004089,0.007137,0.015236,0.017589,0.015545,0.013171,0.016235,0.017685,0.015776,0.011705,0.014657,0.011873,0.014413,0.015254,0.011046,0,1,0.32,0,0
14,'2021/06/23 01:28:33:942',1,0,0,0.008192,0.030854,0.015341,0.008596,0.010264,0.009934,0.005103,0.00572,0.006191,0.013457,0.011366,0.021811,0.010908,0.011376,0.009746,0.01791,0.013309,0.015797,0.015869,0.01035,0.011456,0.01165,0.010324,0,1,0.32,0,0
15,'2021/06/23 01:28:33:976',1,0,0,0.006366,0.033126,0.012498,0.008286,0.009597,0.011685,0.005816,0.00459,0.008295,0.011498,0.008694,0.018218,0.01529,0.012304,0.019088,0.018879,0.014768,0.011303,0.013449,0.009698,0.011181,0.011542,0.011753,0,1,0.32,0,0
16,'2021/06/23 01:28:34:008',1,0,0,0.009023,0.033834,0.01126,0.009606,0.012581,0.009237,0.009177,0.004688,0.012226,0.009378,0.008793,0.011226,0.011871,0.016173,0.014043,0.015559,0.017257,0.012721,0.013214,0.009048,0.010522,0.01132,0.010347,0,1,0.32,0,0
17,'2021/06/23 01:28:34:043',1,0,0,0.006946,0.032453,0.010473,0.004298,0.00735,0.006183,0.015526,0.006304,0.00674,0.009785,0.019134,0.015058,0.01647,0.013937,0.012914,0.013435,0.012979,0.013151,0.013921,0.008766,0.012498,0.013165,0.011957,0,1,0.32,0,0
18,'2021/06/23 01:28:34:076',1,0,0,0.005843,0.028041,0.009134,0.001814,0.007896,0.009654,0.008336,0.005041,0.007156,0.011496,0.014828,0.010845,0.008892,0.0096,0.011734,0.017875,0.011854,0.014379,0.010531,0.010115,0.008234,0.011096,0.009624,0,1,0.32,0,0
19,'2021/06/23 01:28:34:112',1,0,0,0.007931,0.02594,0.012651,0.005368,0.003737,0.006765,0.004569,0.004372,0.006971,0.008141,0.013569,0.014083,0.009917,0.006737,0.013058,0.011181,0.018811,0.010696,0.008343,0.009841,0.012629,0.014638,0.012901,0,1,0.32,0,0
20,'2021/06/23 01:28:34:143',1,0,0,0.003902,0.027905,0.018788,0.004072,0.005639,0.008193,0.005431,0.005043,0.007444,0.018146,0.01815,0.022018,0.014597,0.012275,0.019817,0.012814,0.016783,0.010351,0.012886,0.011926,0.011589,0.0123,0.010033,0,1,0.32,0,0
21,'2021/06/23 01:28:34:177',1,0,0,0.006873,0.029624,0.010705,0.008189,0.005276,0.006052,0.006922,0.006288,0.008084,0.007035,0.020015,0.015824,0.013875,0.006743,0.009647,0.013529,0.011959,0.01321,0.013932,0.013216,0.011377,0.011116,0.009208,0,1,0.32,0,0
22,'2021/06/23 01:28:34:210',1,0,0,0.00764,0.030429,0.013973,0.004616,0.005755,0.009988,0.006965,0.004538,0.007377,0.005908,0.012286,0.018658,0.013897,0.010683,0.014193,0.019702,0.013033,0.010394,0.012596,0.0131,0.012598,0.011917,0.009646,0,1,0.32,0,0
23,'2021/06/23 01:28:34:242',1,0,0,0.003827,0.029889,0.013997,0.002337,0.006339,0.01328,0.004054,0.003759,0.007622,0.012947,0.017022,0.025666,0.013362,0.006383,0.010647,0.011851,0.01319,0.010766,0.011466,0.009032,0.011462,0.007903,0.01092,0,1,0.32,0,0
